epoch,loss_avg,loss_test,acc_test
0.0,1.76695875058303,0.012626242022360524,48.215053763440864
1.0,1.5087532539356936,0.013454701233935612,38.043010752688176
2.0,1.3126300937152124,0.010978381710667765,50.96774193548387
3.0,1.232498278891718,0.008969673559229861,60.924731182795696
4.0,1.1496432728998296,0.008914392218794875,60.946236559139784
5.0,1.1213727863253773,0.009130456063055223,58.494623655913976
6.0,1.0512682420310675,0.008516414889725306,63.913978494623656
7.0,1.0047518353204468,0.008622854275088156,63.16129032258065
8.0,0.8348607339032061,0.008041881848407048,65.6989247311828
9.0,0.7835956818617142,0.008186615923399566,66.40860215053763
